Token,Item Name,Variation Name,SKU,Description,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity Nancys,New Quantity Nancys,Stock Alert Enabled Nancys,Stock Alert Count Nancys
,Custom T-Shirt,,CT001,Custom T-shirt with your own design or photo for a personalized and unique apparel item.,Apparel,Custom T-Shirt with Your Design,Express yourself with this custom T-shirt, featuring your own design or photo for a personalized and unique apparel item.,/custom-t-shirt,,VISIBLE,PHYSICAL,0.5,Shirt Your Style,,Y,Y,Y,Y,24.99,19.99,N,Y,Y,N,Size,S,12.00,,,,,15,15,Y,7
,Personalized Tote Bag,,PTB001,Personalized tote bag with your name, initials, or a custom message for a practical and stylish accessory.,Bags & Accessories,Personalized Tote Bag for Everyday Use,Carry your essentials in style with this personalized tote bag, featuring your name, initials, or a custom message for a unique and practical accessory.,/personalized-tote-bag,,VISIBLE,PHYSICAL,1.0,Bag Your Essentials,,Y,Y,Y,Y,19.99,14.99,N,Y,Y,N,,,10.00,,,,,20,20,Y,10
,Custom Hat,,CH001,Custom hat with your own design or logo for a personalized and stylish headwear accessory.,Hats & Headwear,Custom Hat with Your Design,Top off your look with this custom hat, featuring your own design or logo for a personalized and stylish headwear accessory.,/custom-hat,,VISIBLE,PHYSICAL,0.3,Hat Your Style,,Y,Y,Y,Y,29.99,24.99,N,Y,Y,N,,,15.00,,,,,12,12,Y,6
,Personalized Apron,,PA001,Personalized apron with your name or a fun message for a unique and practical kitchen accessory.,Kitchen & Dining,Personalized Apron for the Chef,Cook in style with this personalized apron, featuring your name or a fun message for a unique and practical kitchen accessory.,/personalized-apron,,VISIBLE,PHYSICAL,0.5,Apron Up for Fun,,Y,Y,Y,Y,24.99,19.99,N,Y,Y,N,,,12.00,,,,,15,15,Y,7
,Custom Socks,,CS001,Custom socks with your own design or photo for a fun and personalized footwear accessory.,Socks & Hosiery,Custom Socks with Your Design,Step up your sock game with these custom socks, featuring your own design or photo for a fun and personalized footwear accessory.,/custom-socks,,VISIBLE,PHYSICAL,0.2,Sock It to Me,,Y,Y,Y,Y,14.99,9.99,N,Y,Y,N,,,8.00,,,,,25,25,Y,15
,Personalized Water Bottle,,PWB001,Personalized water bottle with your name or initials for staying hydrated in style.,Hydration & Accessories,Personalized Water Bottle for Hydration,Stay hydrated on the go with this personalized water bottle, featuring your name or initials for a unique and practical accessory.,/personalized-water-bottle,,VISIBLE,PHYSICAL,1.0,Hydrate in Style,,Y,Y,Y,Y,19.99,14.99,N,Y,Y,N,,,10.00,,,,,20,20,Y,10
,Custom Phone Grip,,CPG001,Custom phone grip with your own design or photo for a personalized and functional phone accessory.,Phone Accessories,Custom Phone Grip for Secure Hold,Keep a secure grip on your phone with this custom phone grip, featuring your own design or photo for a personalized and functional accessory.,/custom-phone-grip,,VISIBLE,PHYSICAL,0.1,Grip Your Phone in Style,,Y,Y,Y,Y,12.99,9.99,N,Y,Y,N,,,7.00,,,,,30,30,Y,15
,Personalized Pillowcase,,PP001,Personalized pillowcase with your name, initials, or a special message for a unique and comfortable bedding accessory.,Bedding,Personalized Pillowcase for Sweet Dreams,Sleep soundly with this personalized pillowcase, featuring your name, initials, or a special message for a unique and comfortable bedding accessory.,/personalized-pillowcase,,VISIBLE,PHYSICAL,0.3,Pillow Talk,,Y,Y,Y,Y,19.99,14.99,N,Y,Y,N,,,10.00,,,,,20,20,Y,10
,Custom Blanket,,CB001,Custom blanket with your own design or photo for a personalized and cozy comfort item.,Bedding,Custom Blanket for Cozy Nights,Snuggle up with this custom blanket, featuring your own design or photo for a personalized and cozy comfort item.,/custom-blanket,,VISIBLE,PHYSICAL,2.0,Blanket Your Style,,Y,Y,Y,Y,49.99,39.99,N,Y,Y,N,,,25.00,,,,,12,12,Y,6
,Personalized Bath Towel,,PBT001,Personalized bath towel with your name or initials for a luxurious and personalized bathroom accessory.,Bath & Body,Personalized Bath Towel for a Spa Experience,Enjoy a spa-like experience with this personalized bath towel, featuring your name or initials for a luxurious and personalized touch.,/personalized-bath-towel,,VISIBLE,PHYSICAL,1.0,Towel Off in Style,,Y,Y,Y,Y,29.99,24.99,N,Y,Y,N,,,15.00,,,,,15,15,Y,7
